id,name,abr,costCR,costAL,costEC,costIA,techReq,description,power,L,I,M,A
1,Nuclear Militia,NML,0,0,0,0,1,Nuclear Militia,100,0,0,0,0
2,Light Nuclear Infantry,LNI,900,0,0,24,27,Light Nuclear Infantry,100,50,0,50,0
3,Medium Nuclear Infantry,MNI,1350,0,0,36,43,Medium Nuclear Infantry,150,50,0,50,0
4,Heavy Nuclear Infantry,HNI,1800,0,0,48,57,Heavy Nuclear Infantry,200,50,0,50,0
5,Light Nuclear Mechanized,LNM,900,90,0,0,28,Light Nuclear Mechanized,100,25,0,0,100
6,Medium Nuclear Mechanized,MNM,1350,135,0,0,44,Medium Nuclear Mechanized,150,25,0,0,100
7,Heavy Nuclear Mechanized,HNM,1800,180,0,0,58,Heavy Nuclear Mechanized,200,25,0,0,100
8,Light Nuclear Artillery,LNA,900,0,48,0,29,Light Nuclear Artillery,100,100,50,0,0
9,Medium Nuclear Artillery,MNA,1350,0,72,0,45,Medium Nuclear Artillery,150,100,50,0,0
10,Heavy Nuclear Artillery,HNA,1800,0,96,0,59,Heavy Nuclear Artillery,200,100,50,0,0
11,Fusion Militia,FML,0,0,0,0,101,Fusion Militia,300,0,0,0,0
12,Light Fusion Infantry,LFI,1800,0,0,48,127,Light Fusion Infantry,300,50,0,50,0
13,Medium Fusion Infantry,MFI,2700,0,0,72,143,Medium Fusion Infantry,450,50,0,50,0
14,Heavy Fusion Infantry,HFI,3600,0,0,96,157,Heavy Fusion Infantry,600,50,0,50,0
15,Light Fusion Mechanized,LFM,1800,180,0,0,128,Light Fusion Mechanized,300,25,0,0,100
16,Medium Fusion Mechanized,MFM,2700,270,0,0,144,Medium Fusion Mechanized,450,25,0,0,100
17,Heavy Fusion Mechanized,HFM,3600,360,0,0,158,Heavy Fusion Mechanized,600,25,0,0,100
18,Light Fusion Artillery,LFA,1800,0,96,0,129,Light Fusion Artillery,300,100,50,0,0
19,Medium Fusion Artillery,MFA,2700,0,144,0,145,Medium Fusion Artillery,450,100,50,0,0
20,Heavy Fusion Artillery,HFA,3600,0,192,0,159,Heavy Fusion Artillery,600,100,50,0,0
21,Plasma Militia,PML,0,0,0,0,201,Plasma Militia,500,0,0,0,0
22,Light Plasma Infantry,LPI,2700,0,0,72,227,Light Plasma Infantry,500,50,0,50,0
23,Medium Plasma Infantry,MPI,4050,0,0,108,243,Medium Plasma Infantry,750,50,0,50,0
24,Heavy Plasma Infantry,HPI,5400,0,0,144,257,Heavy Plasma Infantry,1000,50,0,50,0
25,Light Plasma Mechanized,LPM,2700,270,0,0,228,Light Plasma Mechanized,500,25,0,0,100
26,Medium Plasma Mechanized,MPM,4050,405,0,0,244,Medium Plasma Mechanized,750,25,0,0,100
27,Heavy Plasma Mechanized,HPM,5400,540,0,0,258,Heavy Plasma Mechanized,1000,25,0,0,100
28,Light Plasma Artillery,LPA,2700,0,144,0,229,Light Plasma Artillery,500,100,50,0,0
29,Medium Plasma Artillery,MPA,4050,0,216,0,245,Medium Plasma Artillery,750,100,50,0,0
30,Heavy Plasma Artillery,HPA,5400,0,288,0,259,Heavy Plasma Artillery,1000,100,50,0,0
